"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-69620","Cell Cycle Checkpoints","153/2399","293/10654",2.44389927762106e-29,3.36036150672896e-26,2.71144193538168e-26,"ORC1/CDC25A/MCM2/H2BC10/MCM7/GTSE1/H2BC17/PIAS4/BLM/MDC1/TP53/MCM5/CDC45/MCM3/H2AX/TOP3A/CDC6/AURKB/RPA1/CCNA2/CENPP/CCNE1/UBE2C/INCENP/EXO1/SPC25/CCNB1/MCM10/PSME3/PLK1/DNA2/RFC3/ZWINT/RFC5/PSMD11/PKMYT1/CDC20/MCM4/RNF168/ATM/CENPI/CENPA/PSMD5/ORC2/BIRC5/H2BC12/H2BC9/H4C9/CDC7/CHEK1/CENPU/H4C13/ORC6/RCC2/CDC25C/RFC2/H2BC15/CENPK/PPP1CC/NSD2/RANGAP1/CENPO/CDC27/H2BC14/MCM8/BUB1/CLSPN/ERCC6L/ANAPC7/TOPBP1/BRIP1/MAD2L1/MCM6/NUP160/NUP85/CENPF/KNL1/H4C15/H4C14/BARD1/CCNA1/ZWILCH/H4C5/H4C2/YWHAZ/SKA1/SGO1/NSL1/H2BC11/KIF2A/H2BC6/H2BC8/H4C1/PSME2/NUF2/H2BC7/PSMC2/RPA2/H4C4/NUDC/NUP107/RFC4/CCNB2/PSMB1/XPO1/BRCA1/CDC26/KIF2C/KNTC1/ATR/CHEK2/H4C3/ITGB3BP/MIS12/CLASP2/CDK1/NUP43/PSMA3/ZNF385A/PSMA5/SGO2/ORC4/PPP2R1B/DBF4/H2BC13/NUP37/H2BC5/ORC3/SPC24/NDC80/PSMD7/DSN1/CDCA8/CENPN/CENPE/PSMD10/RMI1/RBBP8/SUMO1/H4C6/H2BU1/CENPQ/RHNO1/CCNE2/H2BC4/PSMC6/ANAPC1/YWHAG/BRCC3/CENPH/WRN/NUP133/PSMA6",153
"R-HSA-68886","M Phase","176/2399","395/10654",3.46907631838428e-23,2.38498996888919e-20,1.92442444188265e-20,"H2BC10/CDCA5/NDC1/H2BC17/H3C8/TUBB4A/SET/H2AX/CEP72/HAUS4/AURKB/CENPP/UBE2C/INCENP/H2AZ2/LMNB1/SPC25/NCAPD3/CCNB1/NUP188/NCAPH/PSME3/PLK1/TUBB2B/NINL/ZWINT/NCAPG/NUP155/ALMS1/PSMD11/CDC20/H2AC8/CENPI/CENPA/NCAPG2/PSMD5/BIRC5/H2BC12/H2BC9/NUP50/TUBB/H3C10/H4C9/PRKAR2B/NUP210/PTTG1/CENPU/ESPL1/H4C13/RCC2/H2BC15/PRKCB/NUP88/H3-3B/NEK2/H3C11/CENPK/NUP205/HAUS8/NUP35/NUP153/CENPJ/NUP93/VRK1/PPP1CC/RANGAP1/SMC1A/CENPO/CEP78/MASTL/CDC27/KIF23/H2BC14/H3C1/NCAPD2/TUBB2A/H2AC20/BUB1/ERCC6L/TMPO/FBXO5/ANAPC7/H3C7/MAD2L1/NUP160/NUP85/CENPF/KNL1/H4C15/H4C14/H3C2/ZWILCH/RAB1A/H4C5/H4C2/H3C12/SKA1/SGO1/NSL1/TUBG1/H2BC11/H2AC4/KIF2A/H2BC6/H2BC8/H4C1/PSME2/NUF2/CEP135/H2BC7/PSMC2/H4C4/NUDC/SMC3/NUP107/PLK4/CCNB2/PSMB1/XPO1/AKAP9/NEK9/CDC26/KIF2C/CNEP1R1/NUP54/KNTC1/FGFR1OP/HAUS6/H4C3/ITGB3BP/MIS12/CEP152/CLASP2/CDK1/NUP43/PSMA3/PHF8/TUBGCP4/PSMA5/SGO2/PPP2R1B/STAG1/H2BC13/NUP42/LPIN1/NUP37/H2BC5/ENSA/KIF20A/SPC24/NDC80/CEP290/H2AZ1/PSMD7/SMC2/DSN1/CDCA8/H2AC14/CENPN/CENPE/PSMD10/H2AC6/H4C6/H2BU1/CENPQ/H2BC4/PSMC6/HAUS1/ANAPC1/YWHAG/SMC4/CENPH/NUP133/PSMA6/CEP76/PCM1",176
"R-HSA-73886","Chromosome Maintenance","71/2399","110/10654",3.1119084753207e-21,1.42629138452199e-18,1.15086018701334e-18,"H2BC10/POLA2/H2BC17/RUVBL1/MIS18A/H2AX/RPA1/POLE/CENPP/H2AZ2/HJURP/POLA1/LIG1/PRIM1/TERF1/RUVBL2/DNA2/RFC3/RFC5/H2AC8/FEN1/CENPI/CENPA/OIP5/H2BC12/H2BC9/H4C9/CENPU/H4C13/RFC2/H2BC15/CENPK/POLD1/CENPO/POLD3/PCNA/H2BC14/H2AC20/DKC1/KNL1/H4C15/H4C14/SMARCA5/H4C5/H4C2/H2BC11/H2AC4/H2BC6/H2BC8/H4C1/H2BC7/RPA2/H4C4/RFC4/POLE2/H4C3/ITGB3BP/H2BC13/RBBP4/H2BC5/MIS18BP1/NPM1/H2AZ1/H2AC14/CENPN/H2AC6/H4C6/H2BU1/CENPQ/H2BC4/CENPH",71
"R-HSA-69481","G2/M Checkpoints","93/2399","168/10654",1.48812259867189e-20,5.11542143293461e-18,4.1275821552636e-18,"ORC1/CDC25A/MCM2/H2BC10/MCM7/GTSE1/H2BC17/PIAS4/BLM/MDC1/TP53/MCM5/CDC45/MCM3/H2AX/TOP3A/CDC6/RPA1/EXO1/CCNB1/MCM10/PSME3/DNA2/RFC3/RFC5/PSMD11/PKMYT1/MCM4/RNF168/ATM/PSMD5/ORC2/H2BC12/H2BC9/H4C9/CDC7/CHEK1/H4C13/ORC6/CDC25C/RFC2/H2BC15/NSD2/H2BC14/MCM8/CLSPN/TOPBP1/BRIP1/MCM6/H4C15/H4C14/BARD1/H4C5/H4C2/YWHAZ/H2BC11/H2BC6/H2BC8/H4C1/PSME2/H2BC7/PSMC2/RPA2/H4C4/RFC4/CCNB2/PSMB1/BRCA1/ATR/CHEK2/H4C3/CDK1/PSMA3/PSMA5/ORC4/DBF4/H2BC13/H2BC5/ORC3/PSMD7/PSMD10/RMI1/RBBP8/SUMO1/H4C6/H2BU1/RHNO1/H2BC4/PSMC6/YWHAG/BRCC3/WRN/PSMA6",93
"R-HSA-5693532","DNA Double-Strand Break Repair","89/2399","166/10654",1.68128799119413e-18,4.62354197578387e-16,3.73068956361814e-16,"H2BC10/BRCA2/H2BC17/PIAS4/BLM/MDC1/TP53/PAXIP1/LIG3/H2AX/TOP3A/POLK/KPNA2/XRCC2/RPA1/POLE/CCNA2/EXO1/DNA2/RFC3/RFC5/FEN1/RNF168/TIMELESS/ATM/TDP1/H2BC12/H2BC9/PARP1/H4C9/CHEK1/KDM4A/H4C13/RFC2/H2BC15/NSD2/POLD1/POLD3/RAD51AP1/POLQ/PCNA/H2BC14/RIF1/CLSPN/TOPBP1/BRIP1/H4C15/H4C14/BARD1/SMARCA5/CCNA1/XRCC1/RAD51/H4C5/H4C2/H2BC11/H2BC6/H2BC8/TIPIN/H4C1/H2BC7/XRCC5/RPA2/H4C4/RFC4/PALB2/BRCA1/POLE2/LIG4/EYA3/ATR/CHEK2/H4C3/PRKDC/XRCC6/EME1/H2BC13/H2BC5/RMI1/PARP2/RBBP8/SUMO1/H4C6/H2BU1/GEN1/RHNO1/H2BC4/BRCC3/WRN",89
"R-HSA-5578749","Transcriptional regulation by small RNAs","65/2399","106/10654",7.54300220678426e-18,1.56763696140041e-15,1.26491051277783e-15,"H2BC10/AGO2/NDC1/H2BC17/H3C8/H2AX/POLR2H/H2AZ2/NUP188/NUP155/H2AC8/H2BC12/H2BC9/NUP50/H3C10/H4C9/NUP210/H4C13/H2BC15/NUP88/H3-3B/H3C11/NUP205/NUP35/NUP153/NUP93/H2BC14/H3C1/H2AC20/H3C7/NUP160/NUP85/H4C15/H4C14/H3C2/H4C5/H4C2/H3C12/H2BC11/H2AC4/H2BC6/H2BC8/H4C1/TNRC6A/H2BC7/H4C4/NUP107/POLR2K/NUP54/H4C3/NUP43/POLR2D/H2BC13/NUP42/NUP37/H2BC5/POLR2B/H2AZ1/H2AC14/H2AC6/H4C6/H2BU1/H2BC4/NUP133/IPO8",65
"R-HSA-68875","Mitotic Prophase","79/2399","142/10654",7.98069725803847e-18,1.56763696140041e-15,1.26491051277783e-15,"H2BC10/NDC1/H2BC17/H3C8/SET/H2AX/H2AZ2/LMNB1/NCAPD3/CCNB1/NUP188/PLK1/NUP155/H2AC8/NCAPG2/H2BC12/H2BC9/NUP50/H3C10/H4C9/NUP210/H4C13/H2BC15/PRKCB/NUP88/H3-3B/H3C11/NUP205/NUP35/NUP153/NUP93/VRK1/MASTL/H2BC14/H3C1/H2AC20/TMPO/H3C7/NUP160/NUP85/H4C15/H4C14/H3C2/RAB1A/H4C5/H4C2/H3C12/H2BC11/H2AC4/H2BC6/H2BC8/H4C1/H2BC7/H4C4/NUP107/CCNB2/NEK9/CNEP1R1/NUP54/H4C3/CDK1/NUP43/PHF8/PPP2R1B/H2BC13/NUP42/LPIN1/NUP37/H2BC5/ENSA/H2AZ1/SMC2/H2AC14/H2AC6/H4C6/H2BU1/H2BC4/SMC4/NUP133",79
"R-HSA-606279","Deposition of new CENPA-containing nucleosomes at the centromere","51/2399","74/10654",1.85823916282707e-17,2.83897649876358e-15,2.29074161125115e-15,"H2BC10/H2BC17/RUVBL1/MIS18A/H2AX/CENPP/H2AZ2/HJURP/H2AC8/CENPI/CENPA/OIP5/H2BC12/H2BC9/H4C9/CENPU/H4C13/H2BC15/CENPK/CENPO/H2BC14/H2AC20/KNL1/H4C15/H4C14/SMARCA5/H4C5/H4C2/H2BC11/H2AC4/H2BC6/H2BC8/H4C1/H2BC7/H4C4/H4C3/ITGB3BP/H2BC13/RBBP4/H2BC5/MIS18BP1/NPM1/H2AZ1/H2AC14/CENPN/H2AC6/H4C6/H2BU1/CENPQ/H2BC4/CENPH",51
"R-HSA-774815","Nucleosome assembly","51/2399","74/10654",1.85823916282707e-17,2.83897649876358e-15,2.29074161125115e-15,"H2BC10/H2BC17/RUVBL1/MIS18A/H2AX/CENPP/H2AZ2/HJURP/H2AC8/CENPI/CENPA/OIP5/H2BC12/H2BC9/H4C9/CENPU/H4C13/H2BC15/CENPK/CENPO/H2BC14/H2AC20/KNL1/H4C15/H4C14/SMARCA5/H4C5/H4C2/H2BC11/H2AC4/H2BC6/H2BC8/H4C1/H2BC7/H4C4/H4C3/ITGB3BP/H2BC13/RBBP4/H2BC5/MIS18BP1/NPM1/H2AZ1/H2AC14/CENPN/H2AC6/H4C6/H2BU1/CENPQ/H2BC4/CENPH",51
"R-HSA-5693538","Homology Directed Repair","76/2399","138/10654",7.34415583660414e-17,1.00982142753307e-14,8.14814763345344e-15,"H2BC10/BRCA2/H2BC17/PIAS4/BLM/MDC1/LIG3/H2AX/TOP3A/POLK/XRCC2/RPA1/POLE/CCNA2/EXO1/DNA2/RFC3/RFC5/FEN1/RNF168/TIMELESS/ATM/H2BC12/H2BC9/PARP1/H4C9/CHEK1/H4C13/RFC2/H2BC15/NSD2/POLD1/POLD3/RAD51AP1/POLQ/PCNA/H2BC14/CLSPN/TOPBP1/BRIP1/H4C15/H4C14/BARD1/CCNA1/XRCC1/RAD51/H4C5/H4C2/H2BC11/H2BC6/H2BC8/TIPIN/H4C1/H2BC7/RPA2/H4C4/RFC4/PALB2/BRCA1/POLE2/ATR/H4C3/EME1/H2BC13/H2BC5/RMI1/PARP2/RBBP8/SUMO1/H4C6/H2BU1/GEN1/RHNO1/H2BC4/BRCC3/WRN",76
