"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-69620","Cell Cycle Checkpoints","122/1870","293/10654",9.77608322282611e-23,1.31781601843696e-19,1.00230579568765e-19,"PIAS4/ATM/PSMD5/NUP37/PSMA3/TP53/H2AX/H2BC12/MDC1/PSMD7/GTSE1/BLM/PSME3/RNF168/MCM2/YWHAZ/PPP1CC/RPA1/CDC26/MCM5/H2BC6/PSMB1/PSMA2/TOP3A/PSME2/PSMC2/RPA2/PLK1/PSMA5/CDC27/ATR/AURKB/BARD1/H2BC11/INCENP/PSMD11/PPP2R1B/DNA2/CENPI/H2BC5/CCNE2/H2BC7/SUMO1/PSMC6/XPO1/CHEK1/BRIP1/PKMYT1/PSMA6/ZW10/ZWILCH/MAD2L1/BUB3/TOPBP1/MRE11/RANGAP1/CENPK/H4C9/NUP43/BRCC3/H4C3/CCNB2/NUP107/NUP160/RFC2/H4C5/RANBP2/H2BC17/ZWINT/MIS12/CENPL/WRN/NUP133/H4C6/H4C2/RFC4/RPS27A/KNTC1/ANAPC1/H4C13/CDC20/RBBP8/KNL1/CKAP5/KIF18A/ORC3/CDK2/CENPN/CDK1/PHF20/NSL1/CDC7/H4C4/H4C1/CCNA1/EXO1/CHEK2/PSMD10/RFC5/CLSPN/ITGB3BP/MDM4/ANAPC10/MCM8/ORC4/NDC80/ERCC6L/H2BC4/SGO1/ORC5/CCNB1/MCM7/MCM10/H2BC13/CENPF/CENPQ/CDC25A/ORC1/NUF2/MCM3/CDC45/BUB1",122
"R-HSA-68886","M Phase","139/1870","395/10654",7.79384723954432e-18,5.25305303945287e-15,3.99537221648219e-15,"H2AZ2/PSMD5/NUP37/PSMA3/H2AX/H3-3B/CDCA5/H2BC12/CEP72/TUBB4A/PSMD7/H3C8/PSME3/PPP1CC/NDC1/H3C1/H2AZ1/H3C2/H3C10/CDC26/NEK2/H2BC6/PSMB1/PSMA2/PSME2/PSMC2/PLK1/PSMA5/CDC27/AURKB/H2BC11/NUP155/INCENP/CEP57/LMNB1/PSMD11/RAB1A/PPP2R1B/ALMS1/H3C11/ARPP19/AKAP9/NUP42/CENPI/TUBB2A/TUBB/NUP54/HAUS1/H2BC5/H3C7/PCM1/H2AC4/CENPJ/H2BC7/H3C12/NEK9/PSMC6/XPO1/NCAPG/NUP35/USO1/SMC1A/PSMA6/TUBGCP4/ZW10/ZWILCH/MAD2L1/BUB3/NUP153/NUP210/H2AC20/RANGAP1/TMPO/CENPK/H4C9/NUP43/H4C3/CCNB2/NUP107/NUP160/H4C5/RANBP2/H2BC17/ZWINT/MIS12/CNEP1R1/CENPL/HAUS4/H2AC14/NUP133/RAB1B/H4C6/H4C2/TUBG1/RPS27A/KNTC1/ANAPC1/CEP135/H4C13/CDC20/KNL1/CKAP5/KIF18A/CSNK1D/TUBB2B/NUP205/CENPN/H2AC8/CDK1/NSL1/H4C4/H2AC6/NCAPG2/H4C1/CEP290/PSMD10/CEP152/ITGB3BP/H3C6/ANAPC10/NDC80/ESPL1/ERCC6L/H2BC4/SGO1/SMC4/CCNB1/H2BC13/CENPF/NCAPH/CENPQ/PRKAR2B/VRK1/SMC2/NUF2/KIF23/FGFR1OP/SMC3/BUB1",139
"R-HSA-69481","G2/M Checkpoints","77/1870","168/10654",1.24859144683699e-17,5.61033756778755e-15,4.26711603234817e-15,"PIAS4/ATM/PSMD5/PSMA3/TP53/H2AX/H2BC12/MDC1/PSMD7/GTSE1/BLM/PSME3/RNF168/MCM2/YWHAZ/RPA1/MCM5/H2BC6/PSMB1/PSMA2/TOP3A/PSME2/PSMC2/RPA2/PSMA5/ATR/BARD1/H2BC11/PSMD11/DNA2/H2BC5/H2BC7/SUMO1/PSMC6/CHEK1/BRIP1/PKMYT1/PSMA6/TOPBP1/MRE11/H4C9/BRCC3/H4C3/CCNB2/RFC2/H4C5/H2BC17/WRN/H4C6/H4C2/RFC4/RPS27A/H4C13/RBBP8/ORC3/CDK2/CDK1/CDC7/H4C4/H4C1/EXO1/CHEK2/PSMD10/RFC5/CLSPN/MCM8/ORC4/H2BC4/ORC5/CCNB1/MCM7/MCM10/H2BC13/CDC25A/ORC1/MCM3/CDC45",77
"R-HSA-5578749","Transcriptional regulation by small RNAs","53/1870","106/10654",1.73317087051208e-14,5.16849158344408e-12,3.9310563815981e-12,"H2AZ2/NUP37/H2AX/H3-3B/H2BC12/AGO2/H3C8/POLR2B/NDC1/H3C1/H2AZ1/H3C2/H3C10/H2BC6/POLR2K/H2BC11/NUP155/H3C11/NUP42/NUP54/H2BC5/H3C7/H2AC4/H2BC7/H3C12/NUP35/NUP153/NUP210/H2AC20/H4C9/NUP43/POLR2D/H4C3/NUP107/NUP160/H4C5/RANBP2/H2BC17/H2AC14/NUP133/H4C6/H4C2/H4C13/RAN/NUP205/H2AC8/H4C4/H2AC6/H4C1/IPO8/H3C6/H2BC4/H2BC13",53
"R-HSA-68875","Mitotic Prophase","64/1870","142/10654",1.91709628466027e-14,5.16849158344408e-12,3.9310563815981e-12,"H2AZ2/NUP37/H2AX/H3-3B/H2BC12/H3C8/NDC1/H3C1/H2AZ1/H3C2/H3C10/H2BC6/PLK1/H2BC11/NUP155/LMNB1/RAB1A/PPP2R1B/H3C11/ARPP19/NUP42/NUP54/H2BC5/H3C7/H2AC4/H2BC7/H3C12/NEK9/NUP35/USO1/NUP153/NUP210/H2AC20/TMPO/H4C9/NUP43/H4C3/CCNB2/NUP107/NUP160/H4C5/RANBP2/H2BC17/CNEP1R1/H2AC14/NUP133/RAB1B/H4C6/H4C2/H4C13/NUP205/H2AC8/CDK1/H4C4/H2AC6/NCAPG2/H4C1/H3C6/H2BC4/SMC4/CCNB1/H2BC13/VRK1/SMC2",64
"R-HSA-73886","Chromosome Maintenance","54/1870","110/10654",2.63753761220674e-14,5.92566783542447e-12,4.50695023559537e-12,"H2AZ2/H2AX/H2BC12/RUVBL2/DKC1/POLA2/RPA1/H2AZ1/H2BC6/RBBP4/RPA2/H2BC11/DNA2/PRIM1/PCNA/CENPW/POLD1/CENPI/H2BC5/POLA1/H2AC4/H2BC7/RFC1/LIG1/SMARCA5/H2AC20/CENPK/HJURP/H4C9/H4C3/NPM1/RFC2/POLE2/H4C5/H2BC17/CENPL/H2AC14/H4C6/H4C2/RFC4/H4C13/KNL1/CENPN/H2AC8/H4C4/H2AC6/H4C1/MIS18A/POLE/RFC5/ITGB3BP/H2BC4/H2BC13/CENPQ",54
"R-HSA-912446","Meiotic recombination","46/1870","86/10654",3.72216671256046e-14,7.16782961218786e-12,5.4517148541863e-12,"H2AZ2/MLH3/ATM/H2AX/H3-3B/H2BC12/H3C8/BLM/RPA1/H3C1/H2AZ1/H3C2/H3C10/H2BC6/TOP3A/RPA2/H2BC11/H3C11/BRCA2/H2BC5/H3C7/CDK4/H2AC4/H2BC7/H3C12/H2AC20/MRE11/H4C9/H4C3/H4C5/H2BC17/H2AC14/H4C6/H4C2/H4C13/RBBP8/CDK2/H2AC8/H4C4/H2AC6/H4C1/H3C6/MND1/H2BC4/H2BC13/PSMC3IP",46
"R-HSA-5693532","DNA Double-Strand Break Repair","69/1870","166/10654",2.45454147841433e-13,4.13590239112815e-11,3.14568868417837e-11,"PIAS4/ATM/TP53/H2AX/H2BC12/POLK/MDC1/BLM/RNF168/RPA1/H2BC6/TOP3A/RPA2/ATR/BARD1/H2BC11/DNA2/RAD51AP1/PCNA/POLD1/BRCA2/H2BC5/PALB2/H2BC7/RFC1/SUMO1/CHEK1/BRIP1/GEN1/SMARCA5/RIF1/TOPBP1/MRE11/H4C9/BRCC3/H4C3/KPNA2/XRCC2/RFC2/POLE2/H4C5/LIG4/H2BC17/WRN/H4C6/H4C2/RFC4/RPS27A/PRKDC/H4C13/RBBP8/XRCC5/TDP1/CDK2/H4C4/H4C1/CCNA1/EXO1/CHEK2/POLE/RFC5/CLSPN/H2BC4/PARP2/POLQ/KDM4A/H2BC13/PPP4R2/XRCC1",69
"R-HSA-5250913","Positive epigenetic regulation of rRNA expression","51/1870","106/10654",3.78186339225305e-13,5.66439094750791e-11,4.30822800474208e-11,"MTA1/EHMT2/H2AZ2/MYBBP1A/H2AX/H3-3B/H2BC12/H3C8/H3C1/H2AZ1/H3C2/H3C10/H2BC6/RBBP4/POLR2K/TAF1A/H2BC11/H3C11/DDX21/TBP/GATAD2A/H2BC5/H3C7/ZNRD1/H2AC4/H2BC7/H3C12/TTF1/POLR1A/SMARCA5/H2AC20/EP300/H4C9/MTA3/H4C3/POLR1B/H4C5/H2BC17/H2AC14/H4C6/H4C2/HDAC2/H4C13/H2AC8/CD3EAP/H4C4/H2AC6/H4C1/H3C6/H2BC4/H2BC13",51
"R-HSA-73894","DNA Repair","112/1870","334/10654",5.83524707237526e-13,7.86591305356186e-11,5.98266384051948e-11,"H2AZ2/GTF2H3/PIAS4/UBE2T/ATM/MUTYH/RBX1/FANCA/FANCG/TP53/H2AX/H2BC12/POLK/MDC1/BLM/POLR2B/RNF168/RPA1/H2AZ1/H2BC6/COPS5/TOP3A/CDK7/RPA2/ATR/POLR2K/USP7/INO80D/BARD1/FANCL/MSH6/H2BC11/USP45/CUL4B/DNA2/RAD51AP1/PCNA/COPS4/POLD1/BRCA2/H2BC5/APEX1/PALB2/H2AC4/H2BC7/TCEA1/RFC1/RCHY1/SUMO1/CHEK1/BRIP1/LIG1/MSH2/GEN1/SMARCA5/RIF1/TOPBP1/H2AC20/MRE11/EP300/H4C9/POLR2D/BRCC3/H4C3/KPNA2/FANCI/XRCC2/RFC2/POLE2/H4C5/LIG4/FANCB/H2BC17/RAD18/WRN/ACTL6A/H2AC14/H4C6/PIAS3/H4C2/RFC4/RPS27A/AQR/PRKDC/H4C13/RBBP8/XRCC5/FANCM/TDP1/CDK2/H2AC8/POLB/H4C4/H2AC6/H4C1/CCNA1/EXO1/CHEK2/USP1/POLE/RFC5/CLSPN/H2BC4/PARP2/MAD2L2/DCLRE1A/POLQ/KDM4A/H2BC13/PPP4R2/XRCC1/INO80C",112
