"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","7897044","PRKCZ","5590","protein kinase C zeta",1.98668056507773,6.50805022205703,82.2433155243457,1.3803954944438e-05,0.000318219145064608,4.71136930783405
"2","7897277","LINC00337","148645","long intergenic non-protein coding RNA 337",1.28554373287647,5.26629485052138,60.3240229588264,3.13476822826188e-05,0.000392262886009897,3.78951812859212
"3","7897280","HES3","390992","hes family bHLH transcription factor 3",1.23418833181405,6.42325449448714,11.233583542666,0.0026279266500425,0.00598180691265118,-2.03818988966821
"4","7897339","CAMTA1","23261","calmodulin binding transcription activator 1",0.856808474678143,4.99735817926891,5.90852503507003,0.0136342488843604,0.02143305746773,-4.27872183547812
"5","7897527","UBE4B","10277","ubiquitination factor E4B",0.85798038676341,9.18562253982552,12.2547258250634,0.00209444594756897,0.00505871056638194,-1.72881138974265
"6","7897561","KIF1B","23095","kinesin family member 1B",0.819840886594772,8.24454095134278,6.3665336458769,0.0113043993191535,0.0183975090960281,-4.02479610752729
"7","7897620","PGD","5226","phosphogluconate dehydrogenase",0.77579495676366,10.8508647964627,7.43118874873708,0.0076368191689663,0.0134674790817041,-3.49200145418632
"8","7897663","TARDBP","23435","TAR DNA binding protein",0.361145290410693,10.1615210818128,2.53947122799761,0.095859857753265,0.115843512426635,-6.86237211858938
"9","7897801","RNU5E-1","26829","RNA, U5E small nuclear 1",-0.216707493359237,11.4136979369336,-1.18772703072225,0.330514928397246,0.361057055516379,-8.33395231774957
"10","7897860","TNFRSF8","943","TNF receptor superfamily member 8",1.52441145337938,6.88042133420594,42.3592508596943,7.98619077435438e-05,0.000573626125143576,2.63634780232871
"11","7897960","AADACL3","126767","arylacetamide deacetylase like 3",1.53286551385234,5.06383335128136,4.74692984672953,0.0233915879550148,0.0335030201912769,-5.00682041282206
"12","7898057","PDPN","10630","podoplanin",3.96937109972897,7.604606865835,20.975048462424,0.000510943242156051,0.00184780011863507,0.186932339000736
"13","7898161","EFHD2","79180","EF-hand domain family member D2",-0.101869884822913,6.63140808489556,-0.68741604320678,0.547162204818944,0.578386469034628,-8.81332597685337
"14","7898184","CELA2B","51032","chymotrypsin like elastase 2B",0.619461927231558,4.85821895454073,1.45991077271453,0.251869772916294,0.282086951100015,-8.03590536700012
"15","7898227","PLEKHM2","23207","pleckstrin homology and RUN domain containing M2",0.172437811604034,7.38581842048175,1.43792286783532,0.257384484827416,0.287510446608023,-8.06037983635362
"16","7898521","IGSF21","84966","immunoglobin superfamily member 21",1.93514575343362,6.21634154781223,60.1235441943923,3.16249977353172e-05,0.00039293895034393,3.77908897935305
"17","7898602","OTUD3","23252","OTU deubiquitinase 3",0.522373855164219,6.98116740321182,4.64875715077298,0.0246066033459436,0.0349243042964297,-5.07480169438853
"18","7898623","UBXN10","127733","UBX domain protein 10",0.865562542761386,4.16090719887244,4.54860004856015,0.0259351762321596,0.0365234972081146,-5.14532640120722
"19","7898677","HS6ST1","9394","heparan sulfate 6-O-sulfotransferase 1",1.56089279649352,7.04443085759276,8.33590833608834,0.00568977405753277,0.010781468763871,-3.09134975087373
"20","7898679","NBPF3","84224","NBPF member 3",-0.13783150632958,5.90847466205317,-0.393515000931338,0.723452864437581,0.745639808801493,-9.0091482009171
"21","7898693","ALPL","249","alkaline phosphatase, biomineralization associated",4.32112149097453,7.68965278119705,205.908469478487,1.21621196948663e-06,0.000219056276306264,6.59608273222814
"22","7898833","KDM1A","23028","lysine demethylase 1A",1.44566891157286,9.97946273248942,24.1239714207466,0.000353361806964184,0.00144883189268086,0.683033422618323
"23","7898902","LYPLA2","11313","lysophospholipase 2",1.61530536113207,8.78495375700486,8.2682226580602,0.00581026188690596,0.010979377663818,-3.11989401192933
"24","7898910","PNRC2","55629","proline rich nuclear receptor coactivator 2",0.264444120345505,10.827298147143,2.74211979856612,0.0818193983751642,0.10025007014457,-6.65959397431654
"25","7898975","SRRM1","10250","serine and arginine repetitive matrix 1",0.883961817287785,8.53128775746146,35.1072413436432,0.000131198236873213,0.000763025592692791,1.99584717191785
"26","7899005","TMEM50A","23585","transmembrane protein 50A",-2.11422164594095,9.47967723127609,-16.6406639197063,0.000939560471791932,0.00282829943684008,-0.637781723762245
"27","7899016","SDHD","6392","succinate dehydrogenase complex subunit D",-0.823123963086989,8.83462236525383,-4.18967837439893,0.0315689752891864,0.043240765279657,-5.40826782533989
"28","7899023","LDLRAP1","26119","low density lipoprotein receptor adaptor protein 1",0.00727298680839183,6.6808835562284,0.032109911190085,0.97664846419666,0.979772073357203,-9.11209666158567
