"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","7897044","PRKCZ","5590","protein kinase C zeta",1.652527288981,6.50805022205703,83.7851084561713,1.31418429969456e-05,0.000369610299012526,4.71747578085885
"2","7897277","LINC00337","148645","long intergenic non-protein coding RNA 337",0.836019958095148,5.26629485052138,48.0469380435922,5.7231409690088e-05,0.000541517822947047,2.92279145020404
"3","7897280","HES3","390992","hes family bHLH transcription factor 3",0.840638260330927,6.42325449448714,9.37112358017624,0.00420713733345651,0.00769917586694395,-2.86625054174819
"4","7897339","CAMTA1","23261","calmodulin binding transcription activator 1",0.526078928998581,4.99735817926891,4.4431590878466,0.0274399626743271,0.0358028353806736,-5.40896466107501
"5","7897527","UBE4B","10277","ubiquitination factor E4B",0.686812297151858,9.18562253982552,12.0146170037445,0.00220548143881576,0.00479297467419313,-1.98412080866108
"6","7897561","KIF1B","23095","kinesin family member 1B",1.02907632908848,8.24454095134278,9.78738525109563,0.00375942477642138,0.00708244527641006,-2.71262989566004
"7","7897620","PGD","5226","phosphogluconate dehydrogenase",0.802805563817083,10.8508647964627,9.41818774390663,0.00415297112477604,0.00762079919737569,-2.84856046241274
"8","7897663","TARDBP","23435","TAR DNA binding protein",0.851859159194065,10.1615210818128,7.3362608998145,0.0078914146268173,0.0125351471367912,-3.72381126397786
"9","7897801","RNU5E-1","26829","RNA, U5E small nuclear 1",0.692990847484513,11.4136979369336,4.65174436318996,0.0245683966980849,0.0325251284368288,-5.26074851994288
"10","7897860","TNFRSF8","943","TNF receptor superfamily member 8",1.21981746129126,6.88042133420594,41.5132316701016,8.42378368733546e-05,0.000629926321880842,2.42139137793589
"11","7897960","AADACL3","126767","arylacetamide deacetylase like 3",2.0154112778924,5.06383335128136,7.64395415743559,0.00710550474146368,0.0115559626023459,-3.58097521849961
"12","7898057","PDPN","10630","podoplanin",4.05771273404599,7.604606865835,26.2608148051911,0.000282462631781406,0.00120597702589067,0.811446118212904
"13","7898161","EFHD2","79180","EF-hand domain family member D2",-0.58179821767588,6.63140808489556,-4.8083034115307,0.0226727180386325,0.0303004778545091,-5.1528778885202
"14","7898184","CELA2B","51032","chymotrypsin like elastase 2B",0.209617179551977,4.85821895454073,0.605040152127735,0.593032824960744,0.624909169415521,-9.06521751834501
"15","7898227","PLEKHM2","23207","pleckstrin homology and RUN domain containing M2",-0.524347130040471,7.38581842048175,-5.35510033962049,0.0174102601251187,0.0241495500851071,-4.7970326031893
"16","7898521","IGSF21","84966","immunoglobin superfamily member 21",0.865898870173553,6.21634154781223,32.9491105105783,0.000155145140615015,0.000833285258668547,1.61473053727901
"17","7898602","OTUD3","23252","OTU deubiquitinase 3",0.614454194082424,6.98116740321182,6.69715837846241,0.00994768204619463,0.0151212676995831,-4.03872742450501
"18","7898623","UBXN10","127733","UBX domain protein 10",0.611001266791308,4.16090719887244,3.93248466548018,0.0366525208874082,0.0465358500423128,-5.79535219243125
"19","7898677","HS6ST1","9394","heparan sulfate 6-O-sulfotransferase 1",0.54387834028039,7.04443085759276,3.55735532846275,0.0462163248660821,0.0573740919511653,-6.10260942706602
"20","7898679","NBPF3","84224","NBPF member 3",-1.10032584880466,5.90847466205317,-3.84750980284347,0.0385703361358979,0.0487208137298103,-5.86312603260104
"21","7898693","ALPL","249","alkaline phosphatase, biomineralization associated",3.59021398025967,7.68965278119705,209.528786044984,1.16137256102373e-06,0.000239554959127315,6.85576604145707
"22","7898833","KDM1A","23028","lysine demethylase 1A",1.40182096399413,9.97946273248942,28.6495723386274,0.000224461933065288,0.00103538568144331,1.12065385139137
"23","7898902","LYPLA2","11313","lysophospholipase 2",0.991730789685326,8.78495375700486,6.21723030387659,0.012000040208223,0.0176217818912888,-4.29336285555079
"24","7898910","PNRC2","55629","proline rich nuclear receptor coactivator 2",0.899963395167727,10.827298147143,11.4293882069226,0.00251224268014032,0.00525104478456696,-2.16203739353303
"25","7898975","SRRM1","10250","serine and arginine repetitive matrix 1",0.788225887673059,8.53128775746146,38.3406545226019,0.000103942037475286,0.000678998570459934,2.14549570396589
"26","7899005","TMEM50A","23585","transmembrane protein 50A",-1.31735830332015,9.47967723127609,-12.699004505509,0.00190837635332461,0.00430024460842543,-1.78645712534572
"27","7899016","SDHD","6392","succinate dehydrogenase complex subunit D",-0.0342667061293458,8.83462236525383,-0.2136158283184,0.846218506702336,0.86403170009429,-9.27023211106121
"28","7899023","LDLRAP1","26119","low density lipoprotein receptor adaptor protein 1",-0.55664880505951,6.6808835562284,-3.00990795778102,0.0670700778247102,0.0806658272406088,-6.59080727845419
"29","7899043","SELENON","57190","selenoprotein N",-0.490536100431793,8.22629740758386,-3.38681290184665,0.0516639721499549,0.0635334524217297,-6.24944143520287
"30","7899134","CEP85","64793","centrosomal protein 85",2.32288014801086,7.05477547390473,17.3027264983121,0.000847988989705851,0.00244772281997916,-0.679557442851763
"31","7899167","LIN28A","79727","lin-28 homolog A",7.97419015517943,10.5746689122545,82.3482417365941,1.37574555852984e-05,0.00037101756261678,4.66548360884981
"32","7899192","RPS6KA1","6195","ribosomal protein S6 kinase A1",1.41546324511265,6.99502026312137,61.7739573490982,2.9438348929662e-05,0.000418793928907873,3.7610213650075
"33","7899220","ARID1A","8289","AT-rich interaction domain 1A",1.17175378982878,7.77116370468743,68.6758523511716,2.22433974584146e-05,0.000379898466344437,4.10231074241035
"34","7899273","NUDC","10726","nuclear distribution C, dynein complex regulator",0.814474642373931,8.1314190497761,7.86487037757294,0.00660580975475501,0.0109130389382452,-3.48163581685156
"35","7899284","TRNP1","388610","TMF1 regulated nuclear protein 1",-0.528681447777115,7.39804616148964,-2.64434281213409,0.0882389871901999,0.104680896301031,-6.94496827312357
"36","7899289","WDTC1","23038","WD and tetratricopeptide repeats 1",-0.692878245428754,6.2077448307597,-6.94945895969089,0.00905748878945728,0.01400903509349,-3.91130249855216
"37","7899361","STX12","23673","syntaxin 12",-2.6176844231317,7.06475631222281,-153.421060384386,2.65022489739649e-06,0.000249045585292163,6.28520783289412
"38","7899407","SMPDL3B","27293","sphingomyelin phosphodiesterase acid like 3B",3.00633912429619,7.40072984349417,21.8453366096387,0.000459032518609253,0.00162876923081187,0.154857267167337
"39","7899455","PHACTR4","65979","phosphatase and actin regulator 4",0.644995593542308,8.39458150803303,8.32399583441797,0.0057107303910582,0.00966510305393123,-3.28316534735619
"40","7899504","GMEB1","10691","glucocorticoid modulatory element binding protein 1",0.904042721144849,7.61933702520644,52.9115937411948,4.43448050101365e-05,0.000486602915527227,3.24856542015343
"41","7899519","YTHDF2","51441","YTH N6-methyladenosine RNA binding protein 2",0.926627186608307,8.45536032035618,12.6697382125957,0.00191991931157771,0.00431179969497523,-1.79469463689377
"42","7899528","OPRD1","4985","opioid receptor delta 1",0.371668919227732,6.10153980063134,1.24900917355095,0.310717330607119,0.341411732953408,-8.4566113178773
"43","7899534","EPB41","2035","erythrocyte membrane protein band 4.1",2.03561648452599,7.92718018314152,21.5832798867421,0.000473868566862746,0.00166633154490973,0.111716778084887
"44","7899562","PTPRU","10076","protein tyrosine phosphatase receptor type U",0.812983075115661,6.55557672111056,9.00823628908785,0.00465915199127452,0.00830667302726284,-3.00554053188169
"45","7899654","KHDRBS1","10657","KH RNA binding domain containing, signal transduction associated 1",0.618368701021209,8.78227822759963,24.7987233729399,0.000328558967052652,0.0013212563589596,0.607472720665459
"46","7899753","LCK","3932","LCK proto-oncogene, Src family tyrosine kinase",1.57880172430577,7.17041136896631,13.0400115857093,0.00178063455632337,0.00410074300488298,-1.69182036269309
"47","7899813","RBBP4","5928","RB binding protein 4, chromatin remodeling factor",1.29496554612823,10.5827021793154,15.5938196074051,0.00111438093981914,0.00294604640120227,-1.05200878794294
"48","7899943","ZMYM1","79830","zinc finger MYM-type containing 1",1.11807008603593,7.99271883286086,5.30570041698368,0.0178132625934466,0.0246431639230128,-4.82792382123142
"49","7900159","DNALI1","7802","dynein axonemal light intermediate chain 1",1.07176114848053,6.44663843461266,28.1010522082329,0.000236216950269119,0.00106968310973648,1.05208656621954
"50","7900167","CDCA8","55143","cell division cycle associated 8",1.34650111322387,6.46226385459437,5.87079572284191,0.0138542964348663,0.0199952345785417,-4.4880953697092
"51","7900216","AKIRIN1","79647","akirin 1",1.31185144209145,9.55899836447535,24.3542352661277,0.000344616556137247,0.00136034703076068,0.543001127724395
"52","7900336","MACF1","23499","microtubule actin crosslinking factor 1",-0.242854328029805,5.57780453386419,-2.32574918818179,0.114171880264823,0.132538538526028,-7.27211016817819
"53","7900340","BMP8A","353500","bone morphogenetic protein 8a",0.0617879165806929,4.98472702694232,0.151542017670381,0.890343907863425,0.903985344518216,-9.28564569338859
"54","7900365","MFSD2A","84879","major facilitator superfamily domain containing 2A",1.47243393033722,6.57475690219673,86.2985518582959,1.21530016338359e-05,0.000365514838443764,4.80557389412177
"55","7900438","ZFP69B","65243","ZFP69 zinc finger protein B",0.79787360875894,6.23616453648456,6.60680707527407,0.010295410004742,0.0155552369159252,-4.08540368504359
"56","7900461","ZNF684","127396","zinc finger protein 684",0.395941649357065,4.66110972394189,1.4085610334872,0.26496206484949,0.293951076424629,-8.28152769238188
"57","7900468","NFYC","4802","nuclear transcription factor Y subunit gamma",0.655666894809015,7.70563345950454,38.4282801133799,0.000103316651865429,0.000678748131466195,2.15344487132999
"58","7900510","CTPS1","1503","CTP synthase 1",0.860347975382126,9.1574278534062,7.24923229732837,0.00813510073805837,0.0128528035502232,-3.76520185865861
